Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,90sGls,90sAst,90sG+A,90sG-PK,90sG+A-PK,90sxG,90sxAG,90sxG+xAG,90snpxG,90snpxG+xAG,Sh,SoT,SoTPercent,Sh90,SoT90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,TotCmp,TotAtt,TotCmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,xAG,xA,A-xAG,KP,Passes3rd,PPA,CrsPA,PrgP,SCA,SCA90,PassLive,PassDead,TO,SCASh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,GCASh,Fld,Def,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,LiveTouches,Att,Succ,SuccPercent,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Final3rd,CPA,Mis,Dis,Rec,PrgR
Issa Diop,fr FRA,DF,West Ham,24,1997,13,10,963,10.7,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,4,14,1,0,0.09,0.09,0,0.09,0.01,0.04,0.05,0.01,0.05,2,2,100,0.19,0.19,0,0,9.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,407,478,85.1,6741,2822,166,181,91.7,203,225,90.2,21,49,42.9,0.4,0.6,0.6,1,15,0,0,14,2,0.19,2,0,0,0,0,0,1,0.09,1,0,0,0,0,0,572,81,312,254,11,7,572,0,0,,0,,311,1630,859,4,0,0,2,1,353,1
Moussa Djenepo,ml MLI,MF,Southampton,23,1998,12,5,457,5.1,0,0,0,0,0,0,3,0,1.5,1.5,0.3,1.8,20,18,30,0,0,0,0,0,0.29,0.06,0.35,0.29,0.35,11,1,9.1,2.17,0.2,0,0,16.3,0,0,0,1.5,1.5,0.13,-1.5,-1.5,109,147,74.1,1480,513,58,68,85.3,39,51,76.5,4,10,40,0.3,0.5,-0.3,6,10,9,2,18,18,3.54,15,0,1,1,1,0,1,0.2,1,0,0,0,0,0,246,7,32,93,123,26,246,29,12,41.4,17,58.6,155,1221,522,20,8,13,23,9,150,30
Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,3,0,32,0.4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,5,8,62.5,92,22,3,3,100,0,2,0,2,3,66.7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,7,5,2,13,1,0,0,1,100,10,75,41,1,0,2,1,1,8,2
Matt Doherty,ie IRL,DF,Tottenham,29,1992,15,9,875,9.7,2,4,6,2,0,0,0,0,2.5,2.5,2,4.5,29,24,80,0.21,0.41,0.62,0.21,0.62,0.25,0.2,0.46,0.25,0.46,16,6,37.5,1.65,0.62,0.13,0.33,14.1,0,0,0,2.5,2.5,0.16,-0.5,-0.5,437,533,82,6693,1596,252,286,88.1,145,175,82.9,32,45,71.1,2,1.4,2,15,13,10,4,24,30,3.09,24,0,1,5,0,0,4,0.41,4,0,0,0,0,0,644,35,183,260,204,32,644,10,6,60,4,40,382,2090,1017,29,16,9,17,6,420,80
Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,35,35,3063,34,5,0,5,5,0,0,8,1,3.2,3.2,0.7,3.9,12,110,9,0.15,0,0.15,0.15,0.15,0.09,0.02,0.12,0.09,0.12,29,12,41.4,0.85,0.35,0.17,0.42,11.2,0,0,0,3.2,3.2,0.11,1.8,1.8,1828,2049,89.2,34814,11568,602,634,95,1069,1129,94.7,144,248,58.1,0.7,0.6,-0.7,9,126,2,0,110,22,0.65,19,0,0,2,0,1,1,0.03,1,0,0,0,0,0,2343,312,1150,1106,100,47,2343,4,4,100,0,0,1554,8318,5214,12,14,1,18,5,1700,9
Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,30,29,2537,28.2,2,4,6,2,0,0,6,0,2.2,2.2,2,4.2,33,113,54,0.07,0.14,0.21,0.07,0.21,0.08,0.07,0.15,0.08,0.15,34,11,32.4,1.21,0.39,0.06,0.18,17.9,0,0,0,2.2,2.2,0.06,-0.2,-0.2,864,1097,78.8,12771,3058,490,581,84.3,296,351,84.3,45,72,62.5,2,1.3,2,19,81,19,0,113,57,2.02,50,0,3,3,0,1,7,0.25,5,0,1,1,0,0,1390,63,329,745,339,44,1390,41,21,51.2,20,48.8,694,3500,1770,33,28,6,43,22,764,54
Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,19,11,912,10.1,1,1,2,1,0,0,0,0,1.1,1.1,1.5,2.6,14,31,49,0.1,0.1,0.2,0.1,0.2,0.1,0.15,0.26,0.1,0.26,8,2,25,0.79,0.2,0.13,0.5,20.8,3,0,0,1.1,1.1,0.13,-0.1,-0.1,223,334,66.8,3517,1068,123,157,78.3,69,89,77.5,19,53,35.8,1.5,1,-0.5,16,21,9,3,31,26,2.57,19,7,0,0,0,0,1,0.1,1,0,0,0,0,0,415,6,60,171,189,13,415,14,7,50,7,50,218,1086,437,14,8,3,13,15,284,49
Cody Drameh,eng ENG,DFMF,Leeds United,19,2001,3,1,128,1.4,0,0,0,0,0,0,1,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0.02,0.02,0,0.02,0,0,,0,0,,,,0,0,0,0,0,,0,0,62,82,75.6,826,362,29,38,76.3,24,26,92.3,2,4,50,0,0,0,1,4,2,1,6,2,1.41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,101,4,40,42,19,2,101,4,2,50,2,50,37,216,78,3,2,0,5,0,45,3
Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,26,2340,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,534,846,63.1,18819,14800,62,62,100,228,233,97.9,242,544,44.5,0,0,0,2,13,0,0,0,3,0.12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,895,688,887,9,0,0,895,0,0,,0,,462,2679,1338,0,0,0,0,0,324,0
Shane Duffy,ie IRL,DF,Brighton,29,1992,18,15,1436,16,1,0,1,1,0,0,7,0,1,1,0.2,1.2,3,41,3,0.06,0,0.06,0.06,0.06,0.06,0.01,0.07,0.06,0.07,22,5,22.7,1.38,0.31,0.05,0.2,11.3,0,0,0,1,1,0.04,0,0,906,1039,87.2,18829,5992,249,277,89.9,535,572,93.5,117,177,66.1,0.2,0.2,-0.2,4,50,1,0,41,9,0.56,7,0,0,2,0,0,1,0.06,0,0,0,1,0,0,1218,189,678,492,52,31,1218,1,1,100,0,0,627,2379,1312,3,7,0,7,0,851,3
Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,3,2,198,2.2,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,51,73,69.9,771,363,31,36,86.1,17,26,65.4,3,10,30,0,0,0,0,3,0,0,5,1,0.45,1,0,0,0,0,0,1,0.45,1,0,0,0,0,0,96,9,33,51,12,0,96,0,0,,0,,33,128,36,0,1,0,1,0,37,2
Lewis Dunk,eng ENG,DF,Brighton,29,1991,29,29,2573,28.6,1,0,1,1,0,0,3,1,1.3,1.3,0.4,1.8,14,83,3,0.03,0,0.03,0.03,0.03,0.05,0.01,0.06,0.05,0.06,19,7,36.8,0.66,0.24,0.05,0.14,10.8,0,0,0,1.3,1.3,0.07,-0.3,-0.3,1726,1958,88.2,35875,11690,467,508,91.9,1019,1077,94.6,228,338,67.5,0.4,0.4,-0.4,3,87,4,1,83,20,0.7,16,1,0,3,0,0,3,0.1,2,1,0,0,0,0,2197,281,1180,949,76,37,2197,4,4,100,0,0,1306,5934,2863,14,7,2,11,3,1575,3
Ederson,br BRA,GK,Manchester City,27,1993,37,37,3330,37,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1016,1128,90.1,22789,14725,280,280,100,519,523,99.2,212,316,67.1,0,0.1,0,0,7,1,0,3,2,0.05,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0,1169,906,1159,10,0,0,1169,0,0,,0,,795,3425,2214,0,0,0,0,0,714,0
Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,28,18,1564,17.4,6,3,9,5,1,1,4,0,6.4,5.6,1.9,7.5,42,42,109,0.35,0.17,0.52,0.29,0.46,0.37,0.11,0.48,0.32,0.43,39,17,43.6,2.24,0.98,0.13,0.29,13.3,0,1,1,6.4,5.6,0.14,-0.4,-0.6,309,429,72,3784,791,210,265,79.2,75,105,71.4,5,7,71.4,1.9,1.6,1.1,21,24,10,0,42,51,2.94,33,0,8,9,0,1,4,0.23,2,0,1,1,0,0,679,20,71,303,316,82,678,67,30,44.8,37,55.2,381,2143,1122,42,24,16,62,27,479,109
CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,1,100,29,27,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,21,14,1214,13.5,2,2,4,2,0,0,0,0,2.6,2.6,2.4,5.1,32,18,114,0.15,0.15,0.3,0.15,0.3,0.19,0.18,0.37,0.19,0.37,21,7,33.3,1.56,0.52,0.1,0.29,15.7,0,0,0,2.6,2.6,0.12,-0.6,-0.6,340,450,75.6,4282,910,229,265,86.4,71,97,73.2,12,21,57.1,2.4,1.2,-0.4,9,11,8,2,18,21,1.56,12,0,2,1,4,2,5,0.37,2,0,1,0,1,1,619,11,111,214,296,56,619,31,11,35.5,20,64.5,354,2063,993,32,24,10,37,15,447,114
Harvey Elliott,eng ENG,MF,Liverpool,18,2003,6,4,346,3.8,0,0,0,0,0,0,0,0,0.8,0.8,0.6,1.4,10,36,38,0,0,0,0,0,0.21,0.16,0.37,0.21,0.37,10,1,10,2.6,0.26,0,0,18.5,0,0,0,0.8,0.8,0.08,-0.8,-0.8,209,256,81.6,3057,789,121,135,89.6,68,79,86.1,11,14,78.6,0.6,0.4,-0.6,9,21,6,2,36,25,6.52,18,1,0,4,2,0,2,0.52,2,0,0,0,0,0,302,1,23,130,151,19,302,9,2,22.2,7,77.8,174,882,486,10,15,2,8,0,226,38
Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,14,8,806,9,0,2,2,0,0,0,1,0,0.2,0.2,0.4,0.6,5,43,2,0,0.22,0.22,0,0.22,0.02,0.05,0.07,0.02,0.07,8,2,25,0.89,0.22,0,0,26.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2,528,565,93.5,8669,2398,248,263,94.3,236,242,97.5,32,39,82.1,0.4,0.3,1.6,9,59,2,0,43,17,1.9,15,1,0,1,0,0,3,0.33,3,0,0,0,0,0,630,33,145,391,97,3,630,1,0,0,1,100,365,1508,713,5,4,1,4,3,467,2
Mohamed Elyounoussi,no NOR,MFFW,Southampton,26,1994,30,23,2042,22.7,4,2,6,4,0,0,4,0,5.5,5.5,2.3,7.8,59,81,124,0.18,0.09,0.26,0.18,0.26,0.24,0.1,0.34,0.24,0.34,43,17,39.5,1.9,0.75,0.09,0.24,14.7,0,0,0,5.5,5.5,0.14,-1.5,-1.5,432,638,67.7,5864,1378,279,367,76,118,168,70.2,15,38,39.5,2.3,2.1,-0.3,28,39,19,3,81,57,2.51,42,0,5,6,3,1,6,0.26,3,0,0,3,0,0,933,37,133,370,443,84,933,45,28,62.2,17,37.8,485,3240,1513,59,52,13,63,38,594,124
Emerson,br BRA,DFMF,Tottenham,22,1999,31,26,2286,25.4,1,1,2,1,0,0,5,0,1.5,1.5,2.2,3.6,68,68,175,0.04,0.04,0.08,0.04,0.08,0.06,0.09,0.14,0.06,0.14,15,4,26.7,0.59,0.16,0.07,0.25,14.6,0,0,0,1.5,1.5,0.1,-0.5,-0.5,1170,1450,80.7,16330,4045,686,762,90,368,459,80.2,52,94,55.3,2.2,3,-1.2,28,32,28,14,68,50,1.97,42,0,4,2,2,0,4,0.16,4,0,0,0,0,0,1765,98,579,666,530,56,1765,34,17,50,17,50,911,4344,2277,68,28,8,27,18,1019,175
Christian Eriksen,dk DEN,MF,Brentford,29,1992,11,10,939,10.4,1,4,5,1,0,0,1,0,1.3,1.3,3.5,4.8,21,82,22,0.1,0.38,0.48,0.1,0.48,0.12,0.34,0.46,0.12,0.46,22,8,36.4,2.11,0.77,0.05,0.13,24.6,5,0,0,1.3,1.3,0.06,-0.3,-0.3,478,639,74.8,9842,3756,193,210,91.9,171,215,79.5,102,179,57,3.5,2.8,0.5,30,84,17,7,82,57,5.46,26,27,1,1,1,1,7,0.67,2,5,0,0,0,0,740,18,137,374,238,12,740,16,8,50,8,50,409,1889,1044,21,16,3,18,9,475,22
Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,9,4,401,4.5,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,3,16,1,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,3,0,0,0.67,0,0,,31,0,0,0,0.1,0.1,0.02,-0.1,-0.1,151,168,89.9,3035,923,50,54,92.6,79,85,92.9,21,26,80.8,0.1,0.2,-0.1,2,15,3,1,16,5,1.12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,204,15,65,130,12,0,204,10,6,60,4,40,106,548,248,3,1,0,3,2,123,1
Jonny Evans,nir NIR,DF,Leicester City,33,1988,18,16,1348,15,1,1,2,1,0,0,3,0,0.6,0.6,0.8,1.4,1,49,4,0.07,0.07,0.13,0.07,0.13,0.04,0.05,0.09,0.04,0.09,3,2,66.7,0.2,0.13,0.33,0.5,5.6,0,0,0,0.6,0.6,0.2,0.4,0.4,846,1020,82.9,16742,6172,251,290,86.6,492,532,92.5,95,177,53.7,0.8,0.7,0.2,4,52,5,0,49,10,0.67,8,2,0,0,0,0,2,0.13,1,1,0,0,0,0,1147,154,632,484,38,12,1147,3,2,66.7,1,33.3,657,2803,1537,1,3,0,4,0,747,4
Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,13,6,605,6.7,1,1,2,1,0,0,1,0,0.4,0.4,0.9,1.3,20,33,38,0.15,0.15,0.3,0.15,0.3,0.07,0.13,0.2,0.07,0.2,10,1,10,1.49,0.15,0.1,1,20.8,1,0,0,0.4,0.4,0.04,0.6,0.6,234,304,77,3880,972,124,145,85.5,82,101,81.2,25,41,61,0.9,0.8,0.1,11,22,7,2,33,24,3.57,12,8,1,1,1,1,2,0.3,1,1,0,0,0,0,376,4,48,190,143,11,376,23,14,60.9,9,39.1,222,1381,662,20,16,3,20,10,262,38
?ukasz Fabia?ski,pl POL,GK,West Ham,36,1985,37,37,3330,37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,666,1013,65.7,20643,15735,110,111,99.1,270,274,98.5,281,622,45.2,0,0,0,0,10,0,0,0,3,0.08,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1084,978,1081,3,0,0,1084,0,0,,0,,593,3722,2293,0,0,0,0,1,414,0
Fabinho,br BRA,MF,Liverpool,27,1993,29,26,2314,25.7,5,1,6,3,2,2,7,0,3.9,2.4,1.3,3.7,18,134,37,0.19,0.04,0.23,0.12,0.16,0.15,0.05,0.2,0.09,0.14,19,7,36.8,0.74,0.27,0.16,0.43,19.9,2,2,2,3.9,2.4,0.14,1.1,0.6,1350,1550,87.1,21821,5712,676,741,91.2,548,608,90.1,94,135,69.6,1.3,1.9,-0.3,16,151,12,1,134,53,2.06,42,0,0,3,6,2,5,0.19,3,0,0,2,0,0,1788,42,343,1175,281,21,1786,15,11,73.3,4,26.7,942,3953,1874,18,27,1,24,13,1231,37
Kiko Femenía,es ESP,DF,Watford,30,1991,27,26,2142,23.8,0,5,5,0,0,0,2,0,0.1,0.1,3.6,3.8,40,100,48,0,0.21,0.21,0,0.21,0,0.15,0.16,0,0.16,3,1,33.3,0.13,0.04,0,0,20.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,867,1228,70.6,13397,6151,485,566,85.7,300,425,70.6,54,166,32.5,3.6,2.3,1.4,25,56,22,9,100,45,1.89,33,11,0,0,1,0,6,0.25,5,1,0,0,0,0,1431,101,455,569,418,11,1431,14,7,50,7,50,611,3099,1626,40,34,6,41,7,667,48
Evan Ferguson,ie IRL,MF,Brighton,16,2004,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,5,6,83.3,73,0,3,4,75,0,0,,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,5,1,7,0,0,,0,,1,0,0,0,0,0,1,0,7,1
Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,3,5,60,29,30,3,3,100,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1,0,0,5,0,0,,0,,1,5,0,0,0,0,0,0,1,0
Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,36,35,3111,34.6,10,6,16,10,0,2,10,0,9.7,8.1,9,17.1,78,237,190,0.29,0.17,0.46,0.29,0.46,0.28,0.26,0.54,0.23,0.5,87,29,33.3,2.52,0.84,0.11,0.34,21.9,6,0,2,9.7,8.1,0.09,0.3,1.9,1549,2093,74,26517,7848,792,925,85.6,509,636,80,195,371,52.6,9,6.9,-3,88,170,81,14,237,155,4.48,115,19,5,10,5,1,11,0.32,8,0,1,2,0,0,2445,64,359,1135,965,100,2443,52,26,50,26,50,1450,6657,3514,78,65,24,46,40,1799,190
Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,336,517,65,8817,5774,77,79,97.5,149,154,96.8,109,282,38.7,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,422,540,6,0,0,546,0,0,,0,,340,1672,890,0,0,0,1,0,280,0
Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,7,5,523,5.8,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,0,12,1,0,0,0,0,0,0.07,0.06,0.13,0.07,0.13,6,1,16.7,1.03,0.17,0,0,10.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,182,211,86.3,3540,1534,60,63,95.2,99,108,91.7,21,35,60,0.3,0.2,-0.3,1,6,0,0,12,4,0.69,1,0,0,3,0,0,1,0.17,0,0,0,1,0,0,265,53,157,100,11,8,265,0,0,,0,,152,619,311,0,0,0,1,0,169,1
Fernandinho,br BRA,MFDF,Manchester City,36,1985,19,10,964,10.7,2,1,3,2,0,0,1,0,1.6,1.6,1,2.5,16,81,11,0.19,0.09,0.28,0.19,0.28,0.15,0.09,0.24,0.15,0.24,18,3,16.7,1.68,0.28,0.11,0.67,16.7,0,0,0,1.6,1.6,0.09,0.4,0.4,746,842,88.6,12820,3829,344,368,93.5,326,360,90.6,56,79,70.9,1,1.1,0,10,74,17,1,81,30,2.8,23,0,0,4,3,0,4,0.37,4,0,0,0,0,0,927,35,172,622,137,17,927,11,9,81.8,2,18.2,637,2931,1483,16,18,0,6,7,742,11
Roberto Firmino,br BRA,FW,Liverpool,29,1991,20,10,990,11,5,4,9,5,0,0,3,0,4.7,4.7,1.7,6.4,27,40,100,0.45,0.36,0.82,0.45,0.82,0.43,0.16,0.59,0.43,0.59,30,11,36.7,2.73,1,0.17,0.45,15.3,0,0,0,4.7,4.7,0.16,0.3,0.3,390,501,77.8,5132,1178,237,266,89.1,107,150,71.3,15,21,71.4,1.7,1.7,2.3,16,31,12,1,40,40,3.64,35,0,1,3,1,0,5,0.46,4,0,0,1,0,0,664,4,49,302,322,68,664,33,17,51.5,16,48.5,370,1882,883,27,24,6,33,25,500,100
Junior Firpo,es ESP,DFMF,Leeds United,24,1996,24,19,1711,19,0,2,2,0,0,0,11,0,0.9,0.9,1.9,2.8,36,111,72,0,0.11,0.11,0,0.11,0.05,0.1,0.15,0.05,0.15,11,1,9.1,0.58,0.05,0,0,14.6,0,0,0,0.9,0.9,0.08,-0.9,-0.9,768,952,80.7,12029,4281,417,475,87.8,299,362,82.6,38,71,53.5,1.9,1.6,0.1,22,70,16,6,111,52,2.73,40,4,2,3,3,0,4,0.21,2,1,1,0,0,0,1152,60,346,562,257,38,1152,28,16,57.1,12,42.9,585,2858,1718,36,29,2,17,7,670,72
Ashley Fletcher,eng ENG,FW,Watford,25,1995,3,0,30,0.3,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,1,0,1,0,0,0,0,0,1.8,0,1.8,1.8,1.8,2,1,50,6,3,0,0,17.6,0,0,0,0.6,0.6,0.3,-0.6,-0.6,3,7,42.9,23,10,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,0,2,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14,1,2,5,7,2,14,0,0,,0,,10,53,31,1,1,1,1,1,10,1
Phil Foden,eng ENG,FW,Manchester City,21,2000,28,24,2128,23.6,9,5,14,9,0,0,1,0,9.4,9.4,6.3,15.7,71,98,248,0.38,0.21,0.59,0.38,0.59,0.4,0.27,0.66,0.4,0.66,57,22,38.6,2.41,0.93,0.16,0.41,14.5,0,0,0,9.4,9.4,0.17,-0.4,-0.4,881,1102,79.9,12909,2621,542,595,91.1,235,294,79.9,56,115,48.7,6.3,5.3,-1.3,40,50,37,9,98,89,3.76,63,13,3,7,2,1,13,0.55,8,3,0,2,0,0,1303,6,66,426,820,137,1303,58,37,63.8,21,36.2,872,4436,1941,71,43,39,48,34,1023,248
Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7,7,630,7,0,0,0,0,0,0,2,0,0.4,0.4,0,0.4,10,28,1,0,0,0,0,0,0.06,0,0.06,0.06,0.06,3,1,33.3,0.43,0.14,0,0,7.9,0,0,0,0.4,0.4,0.13,-0.4,-0.4,470,528,89,8686,2839,168,183,91.8,266,284,93.7,29,50,58,0,0.1,0,2,25,0,0,28,4,0.57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,594,55,305,275,19,5,594,3,3,100,0,0,434,2958,1710,10,9,1,5,2,439,1
Pablo Fornals,es ESP,FWMF,West Ham,25,1996,36,32,2795,31.1,6,3,9,6,0,0,4,0,4.6,4.6,6.3,10.9,49,191,200,0.19,0.1,0.29,0.19,0.29,0.15,0.2,0.35,0.15,0.35,43,11,25.6,1.38,0.35,0.14,0.55,18.7,0,0,0,4.6,4.6,0.11,1.4,1.4,1052,1417,74.2,17266,5582,529,613,86.3,363,484,75,111,205,54.1,6.3,4.5,-3.3,48,111,51,8,191,109,3.51,86,9,5,5,3,1,11,0.35,9,1,0,1,0,0,1731,33,262,819,665,65,1731,54,23,42.6,31,57.4,981,4917,2219,49,37,11,47,28,1184,200
Adam Forshaw,eng ENG,MF,Leeds United,29,1991,22,17,1530,17,0,1,1,0,0,0,5,0,0.5,0.5,1,1.5,19,80,26,0,0.06,0.06,0,0.06,0.03,0.06,0.09,0.03,0.09,14,4,28.6,0.82,0.24,0,0,25,1,0,0,0.5,0.5,0.03,-0.5,-0.5,695,842,82.5,11652,3225,342,389,87.9,253,290,87.2,73,103,70.9,1,0.7,0,13,68,8,0,80,35,2.06,31,0,1,3,0,0,2,0.12,2,0,0,0,0,0,995,25,265,578,167,9,995,19,12,63.2,7,36.8,539,2507,1137,19,12,2,24,11,629,26
Marcus Forss,fi FIN,FWMF,Brentford,22,1999,7,1,209,2.3,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.6,2,6,12,0,0.43,0.43,0,0.43,0.14,0.1,0.24,0.14,0.24,5,0,0,2.15,0,0,,15.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,22,38,57.9,341,115,12,19,63.2,5,9,55.6,3,3,100,0.2,0,0.8,1,5,1,0,6,1,0.43,0,0,0,1,0,0,1,0.43,0,0,0,1,0,0,69,0,2,39,28,6,69,4,1,25,3,75,29,126,44,2,0,0,9,1,37,12
Fraser Forster,eng ENG,GK,Southampton,33,1988,19,19,1710,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,360,603,59.7,11459,8540,48,49,98,167,173,96.5,144,377,38.2,0,0,0,0,11,0,0,0,3,0.16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,673,513,669,4,0,0,673,0,0,,0,,336,2160,1197,0,0,0,0,0,260,0
Ben Foster,eng ENG,GK,Watford,38,1983,26,26,2340,26,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.04,0.04,0,0.04,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,428,886,48.3,16732,14440,38,39,97.4,137,148,92.6,253,692,36.6,0.1,0.1,0.9,1,33,1,0,0,8,0.31,8,0,0,0,0,0,1,0.04,1,0,0,0,0,0,940,719,925,16,0,0,940,1,1,100,0,0,450,2800,1448,0,0,0,0,0,338,0
Tariqe Fosu,gh GHA,DF,Brentford,25,1995,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0.22,0,0.22,0.22,0.22,1,1,100,5.29,5.29,0,0,17,0,0,0,0,0,0.04,0,0,6,7,85.7,103,13,2,2,100,4,5,80,0,0,,0,0,0,0,0,0,0,1,1,5.29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,3,7,3,10,0,0,,0,,7,62,53,3,1,1,0,0,8,4
Ryan Fraser,sct SCO,FWMF,Newcastle Utd,27,1994,27,18,1465,16.3,2,3,5,2,0,0,3,0,2.7,2.7,2.1,4.7,35,34,86,0.12,0.18,0.31,0.12,0.31,0.16,0.13,0.29,0.16,0.29,24,7,29.2,1.47,0.43,0.08,0.29,18,0,0,0,2.7,2.7,0.11,-0.7,-0.7,334,482,69.3,5352,1620,197,234,84.2,86,128,67.2,40,84,47.6,2.1,2.3,0.9,25,18,24,15,34,56,3.44,34,10,0,6,6,0,7,0.43,4,1,0,1,1,0,590,22,102,192,301,42,590,4,1,25,3,75,370,1823,970,35,23,11,22,11,410,86
Fred,br BRA,MF,Manchester Utd,28,1993,28,24,2028,22.5,4,4,8,4,0,0,5,0,1.3,1.3,2.2,3.5,17,138,41,0.18,0.18,0.36,0.18,0.36,0.06,0.1,0.16,0.06,0.16,15,9,60,0.67,0.4,0.27,0.44,21.3,0,0,0,1.3,1.3,0.08,2.7,2.7,1137,1358,83.7,18842,5515,547,626,87.4,448,506,88.5,92,118,78,2.2,3,1.8,28,131,13,1,138,56,2.49,52,0,0,0,4,0,9,0.4,8,0,0,0,1,0,1623,65,392,965,275,17,1623,36,21,58.3,15,41.7,840,3252,1564,17,16,1,41,25,1093,41
