Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,90sGls,90sAst,90sG+A,90sG-PK,90sG+A-PK,90sxG,90sxAG,90sxG+xAG,90snpxG,90snpxG+xAG,Sh,SoT,SoTPercent,Sh90,SoT90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,TotCmp,TotAtt,TotCmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,xAG,xA,A-xAG,KP,Passes3rd,PPA,CrsPA,PrgP,SCA,SCA90,PassLive,PassDead,TO,SCASh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,GCASh,Fld,Def,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,LiveTouches,Att,Succ,SuccPercent,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Final3rd,CPA,Mis,Dis,Rec,PrgR
Dele Alli,eng ENG,MF,Tottenham,25,1996,10,8,657,7.3,1,0,1,0,1,1,1,0,1.6,0.8,0.3,1.1,8,18,22,0.14,0,0.14,0,0,0.22,0.04,0.26,0.11,0.15,3,2,66.7,0.41,0.27,0,0,21.4,0,1,1,1.6,0.8,0.26,-0.6,-0.8,177,228,77.6,2353,563,105,124,84.7,45,53,84.9,10,20,50,0.3,0.4,-0.3,2,14,4,1,18,7,0.96,4,0,0,0,3,0,1,0.14,0,0,0,0,1,0,339,24,74,188,82,14,338,27,12,44.4,15,55.6,184,923,358,8,8,0,13,19,203,22
Dele Alli,eng ENG,MFFW,Everton,25,1996,11,1,338,3.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,7,13,21,0,0,0,0,0,0.03,0.09,0.12,0.03,0.12,3,0,0,0.8,0,0,,19.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,114,157,72.6,1696,434,63,81,77.8,34,45,75.6,9,12,75,0.4,0.4,-0.4,7,10,3,1,13,13,3.46,12,1,0,0,0,0,1,0.27,1,0,0,0,0,0,225,13,50,107,71,13,225,14,5,35.7,9,64.3,108,708,290,7,8,3,15,6,132,21
Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,30,19,1716,19.1,1,0,1,1,0,0,2,0,1.7,1.7,0.9,2.6,44,46,85,0.05,0,0.05,0.05,0.05,0.09,0.05,0.14,0.09,0.14,32,7,21.9,1.68,0.37,0.03,0.14,19.6,0,0,0,1.7,1.7,0.05,-0.7,-0.7,402,511,78.7,5720,1254,229,264,86.7,118,149,79.2,23,38,60.5,0.9,0.6,-0.9,16,26,5,0,46,49,2.57,36,0,3,8,2,0,4,0.21,3,0,1,0,0,0,728,22,135,302,307,43,728,39,26,66.7,13,33.3,446,2959,1319,44,21,12,44,24,471,85
Marcos Alonso,es ESP,DF,Chelsea,30,1990,28,25,2167,24.1,4,4,8,4,0,0,8,0,2.8,2.8,4.5,7.3,51,93,192,0.17,0.17,0.33,0.17,0.33,0.12,0.19,0.3,0.12,0.3,43,10,23.3,1.79,0.42,0.09,0.4,18.7,9,0,0,2.8,2.8,0.07,1.2,1.2,1142,1486,76.9,17781,5763,624,709,88,387,478,81,84,194,43.3,4.5,3.4,-0.5,43,67,34,15,93,93,3.86,66,16,3,6,2,0,10,0.42,7,2,0,1,0,0,1791,72,451,626,730,69,1791,35,15,42.9,20,57.1,882,4325,2172,51,32,10,43,25,1037,192
Steven Alzate,co COL,MF,Brighton,22,1998,9,5,404,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,3,21,6,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,1,1,100,0.22,0.22,0,0,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,204,233,87.6,3213,865,105,116,90.5,72,78,92.3,17,24,70.8,0.2,0.2,-0.2,2,18,1,0,21,6,1.34,6,0,0,0,0,0,1,0.22,1,0,0,0,0,0,292,14,79,165,50,3,292,8,6,75,2,25,148,650,330,3,7,1,8,3,177,6
Daniel Amartey,gh GHA,DF,Leicester City,26,1994,28,23,2123,23.6,0,0,0,0,0,0,4,0,0,0,0.2,0.2,14,62,0,0,0,0,0,0,0,0.01,0.01,0,0.01,2,1,50,0.08,0.04,0,0,34.1,0,0,0,0,0,0.01,0,0,1399,1546,90.5,25246,8400,508,550,92.4,769,810,94.9,103,140,73.6,0.2,0.4,-0.2,4,71,1,0,62,18,0.76,18,0,0,0,0,0,1,0.04,1,0,0,0,0,0,1752,246,872,832,52,6,1752,7,6,85.7,1,14.3,1133,5040,2786,14,12,1,7,1,1278,0
Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,34,32,2916,32.4,0,3,3,0,0,0,4,0,0.7,0.7,1.7,2.4,14,100,4,0,0.09,0.09,0,0.09,0.02,0.05,0.07,0.02,0.07,8,3,37.5,0.25,0.09,0,0,15.3,1,0,0,0.7,0.7,0.08,-0.7,-0.7,1911,2351,81.3,44144,15836,410,480,85.4,1138,1224,93,349,604,57.8,1.7,1.9,1.3,20,151,11,2,100,33,1.02,30,1,0,1,0,1,4,0.12,3,0,0,1,0,0,2614,425,1538,1005,80,32,2614,9,7,77.8,2,22.2,1604,8191,4478,14,5,2,8,8,1865,4
Michail Antonio,jm JAM,FW,West Ham,31,1990,36,34,2971,33,10,8,18,10,0,1,8,1,10.8,10.2,6,16.2,77,46,246,0.3,0.24,0.55,0.3,0.55,0.33,0.18,0.51,0.31,0.49,82,27,32.9,2.48,0.82,0.12,0.37,14.9,0,0,1,10.8,10.2,0.12,-0.8,-0.2,438,702,62.4,6545,1294,252,324,77.8,121,192,63,37,63,58.7,6,5,2,45,24,27,12,46,97,2.94,65,1,11,11,9,0,17,0.51,10,0,1,4,2,0,1095,17,59,398,663,159,1094,93,50,53.8,43,46.2,681,4270,1921,77,46,35,136,72,885,246
Cameron Archer,eng ENG,FWMF,Aston Villa,20,2001,3,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.15,0,0.15,0.15,0.15,1,0,0,3.33,0,0,,12.6,0,0,0,0,0,0.04,0,0,4,4,100,62,29,3,3,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,3,7,1,11,1,0,0,1,100,7,44,10,0,1,0,1,2,7,1
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,21,40,52.5,785,656,2,2,100,8,8,100,11,30,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,40,42,0,0,0,42,0,0,,0,,20,85,41,0,0,0,0,0,20,0
Adam Armstrong,eng ENG,FW,Southampton,24,1997,23,17,1413,15.7,2,2,4,2,0,0,1,0,4.5,4.5,1.6,6.2,39,30,105,0.13,0.13,0.25,0.13,0.25,0.29,0.1,0.39,0.29,0.39,47,14,29.8,2.99,0.89,0.04,0.14,17.2,0,0,0,4.5,4.5,0.1,-2.5,-2.5,229,324,70.7,3453,610,111,142,78.2,93,126,73.8,12,22,54.5,1.6,1.4,0.4,13,11,13,0,30,36,2.29,22,0,5,6,3,0,3,0.19,2,0,0,0,1,0,493,9,40,184,275,75,493,42,16,38.1,26,61.9,287,1882,768,39,24,22,45,13,335,105
Stuart Armstrong,sct SCO,MF,Southampton,29,1992,25,15,1473,16.4,2,0,2,2,0,0,1,0,2.5,2.5,1.5,4,63,83,78,0.12,0,0.12,0.12,0.12,0.15,0.09,0.24,0.15,0.24,38,9,23.7,2.32,0.55,0.05,0.22,20.5,0,0,0,2.5,2.5,0.07,-0.5,-0.5,590,744,79.3,8618,2144,321,386,83.2,217,250,86.8,25,42,59.5,1.5,1.4,-1.5,25,46,23,4,83,54,3.3,42,2,2,3,4,1,3,0.18,1,0,1,0,1,0,946,22,124,408,428,41,946,54,27,50,27,50,595,4052,1934,63,50,12,40,27,661,78
Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,115,138,83.3,2398,1340,36,36,100,55,55,100,21,44,47.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,125,146,0,0,0,146,0,0,,0,,101,389,218,0,0,0,0,0,80,0
Harrison Ashby,sct SCO,DF,West Ham,19,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,7,7,100,110,8,5,5,100,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,1,5,0,9,0,0,,0,,5,35,6,0,0,0,0,0,6,0
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,14,12,1037,11.5,4,1,5,4,0,2,3,0,5.9,4.2,1,5.2,21,26,47,0.35,0.09,0.43,0.35,0.43,0.51,0.09,0.6,0.36,0.45,33,16,48.5,2.86,1.39,0.12,0.25,15,0,0,2,5.9,4.2,0.13,-1.9,-0.2,137,208,65.9,1801,404,90,115,78.3,37,64,57.8,4,9,44.4,1,0.9,0,9,6,8,0,26,22,1.91,14,0,2,4,2,0,3,0.26,2,0,0,1,0,0,319,2,33,117,171,50,317,7,2,28.6,5,71.4,142,779,456,21,9,10,16,4,220,47
Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,31,23,2019,22.4,3,3,6,3,0,0,2,0,3.1,3.1,2.8,5.9,98,51,151,0.13,0.13,0.27,0.13,0.27,0.14,0.12,0.26,0.14,0.26,35,8,22.9,1.56,0.36,0.09,0.38,16.8,1,0,0,3.1,3.1,0.09,-0.1,-0.1,576,754,76.4,7894,1509,346,389,88.9,180,228,78.9,17,54,31.5,2.8,2.9,0.2,23,31,16,6,51,61,2.72,41,1,2,3,13,1,6,0.27,5,0,0,0,1,0,1087,15,149,514,450,67,1087,71,34,47.9,37,52.1,696,4590,2316,98,49,24,84,77,779,151
Luke Ayling,eng ENG,DF,Leeds United,29,1991,26,26,2272,25.2,2,2,4,2,0,0,4,1,1.2,1.2,1.8,3.1,45,135,51,0.08,0.08,0.16,0.08,0.16,0.05,0.07,0.12,0.05,0.12,19,3,15.8,0.75,0.12,0.11,0.67,13,0,0,0,1.2,1.2,0.07,0.8,0.8,1224,1592,76.9,22964,10551,535,606,88.3,517,619,83.5,154,294,52.4,1.8,1,0.2,12,98,11,4,135,33,1.31,24,1,0,7,0,1,5,0.2,1,0,0,3,0,1,1884,178,905,758,244,35,1884,37,23,62.2,14,37.8,1002,5566,3583,45,23,2,42,10,1147,51
César Azpilicueta,es ESP,DF,Chelsea,31,1989,27,24,2070,23,1,2,3,1,0,0,3,0,0.9,0.9,1.8,2.6,49,138,132,0.04,0.09,0.13,0.04,0.13,0.04,0.08,0.11,0.04,0.11,11,4,36.4,0.48,0.17,0.09,0.25,14.7,0,0,0,0.9,0.9,0.08,0.1,0.1,1486,1787,83.2,22185,8377,809,904,89.5,565,643,87.9,65,139,46.8,1.8,2.3,0.2,17,104,19,2,138,48,2.09,43,0,2,3,0,0,8,0.35,6,0,1,1,0,0,2017,112,616,932,480,53,2017,19,15,78.9,4,21.1,1098,4607,2789,49,33,7,21,10,1420,132
Daniel Bachmann,at AUT,GK,Watford,27,1994,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,216,364,59.3,7080,5483,19,19,100,104,109,95.4,93,234,39.7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,325,399,2,0,0,401,1,1,100,0,0,214,1241,835,0,0,0,0,0,148,0
Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,18,7,761,8.5,1,2,3,1,0,0,3,0,1.5,1.5,0.8,2.3,34,24,61,0.12,0.24,0.35,0.12,0.35,0.18,0.09,0.27,0.18,0.27,21,8,38.1,2.48,0.95,0.05,0.13,19.4,4,0,0,1.5,1.5,0.07,-0.5,-0.5,150,226,66.4,2354,518,76,95,80,47,66,71.2,15,36,41.7,0.8,1.1,1.2,7,6,9,1,24,20,2.37,15,0,1,2,2,0,1,0.12,1,0,0,0,0,0,348,3,29,119,206,35,348,29,13,44.8,16,55.2,232,1679,693,34,14,10,33,24,244,61
Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,4,3,217,2.4,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,68,85,80,1229,484,28,31,90.3,36,40,90,4,13,30.8,0,0,0,0,3,0,0,5,1,0.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,114,25,73,38,3,0,114,1,0,0,1,100,55,340,155,1,0,0,3,1,59,0
Folarin Balogun,eng ENG,FW,Arsenal,20,2001,2,1,70,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,4,0,0,0,0,0,0.29,0,0.29,0.29,0.29,3,0,0,3.86,0,0,,14.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2,4,9,44.4,46,7,3,4,75,1,3,33.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,2,7,13,6,22,2,0,0,2,100,8,22,8,0,0,0,4,0,14,4
Patrick Bamford,eng ENG,FW,Leeds United,27,1993,9,7,559,6.2,2,2,4,2,0,0,2,0,3,3,1.1,4,8,12,24,0.32,0.32,0.64,0.32,0.64,0.48,0.17,0.65,0.48,0.65,20,5,25,3.22,0.81,0.1,0.4,14,0,0,0,3,3,0.15,-1,-1,88,108,81.5,1103,200,60,68,88.2,20,25,80,3,6,50,1.1,0.4,0.9,5,5,6,1,12,13,2.09,9,0,1,2,1,0,3,0.48,2,0,1,0,0,0,173,10,15,83,76,33,173,7,4,57.1,3,42.9,92,486,196,8,4,3,18,3,111,24
