STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,WESD,WESF
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/24/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",5/25/2020,,,0.03,,,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",5/25/2020,,,0.04,,,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",5/26/2020,,,0.12,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/26/2020,,,0.08,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",5/26/2020,,,0.12,,,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",5/27/2020,,,0.08,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/27/2020,,,0.08,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",5/28/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/28/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",5/29/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/29/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",5/30/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/30/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",5/31/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",5/31/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/1/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/1/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/2/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/2/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/3/2020,,,0.01,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/3/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/4/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/4/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/5/2020,,,0.09,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/5/2020,,,0.06,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/6/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/6/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/7/2020,,,0.01,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/7/2020,,,0.1,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/7/2020,,,0.08,,,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/8/2020,,,1.22,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/8/2020,,,1.46,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/8/2020,,,1.32,,,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/9/2020,,,0.57,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/9/2020,,,0.82,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/9/2020,,,0.67,,,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/10/2020,,,0.09,,,,
